WELL_PERMIT_NUM	OPERATOR	COUNTY	MUNICIPALITY	LATITUDE	LONGITUDE	START_DATE	PROD_PERIOD	PROD_PERIOD_MAX	OIL_BBL_MODEL	GAS_MCF_MODEL	GAS_MCF_MODEL_CUMSUM	OIL_BBL_MODEL_CUMSUM	PROD_MCFE_MODEL_ZERO	PRODUCTION_DATE_MODEL	PROD_MCFE	PROD_MCFE_MODEL	GAS_MCF_MODEL_NA	GAS_MCF_MODEL_ZERO	OIL_BBL_MODEL_ZERO	DATE_MODEL	PROD_MCFE_MODEL_NA	
027-21517	ANADARKO E&P ONSHORE LLC	CENTRE	BURNSIDE	41.134336	-77.886635	2010-12-01	72	0					0	2016-12-01		0		0	0	2016-12-01		
027-21517	ANADARKO E&P ONSHORE LLC	CENTRE	BURNSIDE	41.134336	-77.886635	2010-12-01	84	0					0	2017-12-01		0		0	0	2017-12-01		
027-21517	ANADARKO E&P ONSHORE LLC	CENTRE	BURNSIDE	41.134336	-77.886635	2010-12-01	96	0					0	2018-12-01		0		0	0	2018-12-01		
027-21517	ANADARKO E&P ONSHORE LLC	CENTRE	BURNSIDE	41.134336	-77.886635	2010-12-01	108	0					0	2019-12-01		0		0	0	2019-12-01		
027-21567	ANADARKO E&P ONSHORE LLC	CENTRE	BURNSIDE	41.130892	-77.888704	2010-12-01	72	0					0	2016-12-01		0		0	0	2016-12-01		
027-21567	ANADARKO E&P ONSHORE LLC	CENTRE	BURNSIDE	41.130892	-77.888704	2010-12-01	84	0					0	2017-12-01		0		0	0	2017-12-01		
027-21567	ANADARKO E&P ONSHORE LLC	CENTRE	BURNSIDE	41.130892	-77.888704	2010-12-01	96	0					0	2018-12-01		0		0	0	2018-12-01		
027-21567	ANADARKO E&P ONSHORE LLC	CENTRE	BURNSIDE	41.130892	-77.888704	2010-12-01	108	0					0	2019-12-01		0		0	0	2019-12-01		
081-20254	ANADARKO E&P ONSHORE LLC	LYCOMING	PINE	41.474156	-77.245307	2010-12-01	72	0					0	2016-12-01		0		0	0	2016-12-01		
081-20254	ANADARKO E&P ONSHORE LLC	LYCOMING	PINE	41.474156	-77.245307	2010-12-01	84	0					0	2017-12-01		0		0	0	2017-12-01		
081-20254	ANADARKO E&P ONSHORE LLC	LYCOMING	PINE	41.474156	-77.245307	2010-12-01	96	0					0	2018-12-01		0		0	0	2018-12-01		
081-20254	ANADARKO E&P ONSHORE LLC	LYCOMING	PINE	41.474156	-77.245307	2010-12-01	108	0					0	2019-12-01		0		0	0	2019-12-01		
081-20372	ANADARKO E&P ONSHORE LLC	LYCOMING	CASCADE	41.426625	-76.869269	2011-12-01	60	0					0	2016-12-01		0		0	0	2016-12-01		
081-20372	ANADARKO E&P ONSHORE LLC	LYCOMING	CASCADE	41.426625	-76.869269	2011-12-01	72	0					0	2017-12-01		0		0	0	2017-12-01		
081-20372	ANADARKO E&P ONSHORE LLC	LYCOMING	CASCADE	41.426625	-76.869269	2011-12-01	84	0					0	2018-12-01		0		0	0	2018-12-01		
081-20372	ANADARKO E&P ONSHORE LLC	LYCOMING	CASCADE	41.426625	-76.869269	2011-12-01	96	0					0	2019-12-01		0		0	0	2019-12-01		
081-20412	ANADARKO E&P ONSHORE LLC	LYCOMING	GAMBLE	41.404169	-76.983544	2011-06-01	66	0					0	2016-12-01		0		0	0	2016-12-01		
081-20412	ANADARKO E&P ONSHORE LLC	LYCOMING	GAMBLE	41.404169	-76.983544	2011-06-01	78	0					0	2017-12-01		0		0	0	2017-12-01		
081-20412	ANADARKO E&P ONSHORE LLC	LYCOMING	GAMBLE	41.404169	-76.983544	2011-06-01	90	0					0	2018-12-01		0		0	0	2018-12-01		
081-20412	ANADARKO E&P ONSHORE LLC	LYCOMING	GAMBLE	41.404169	-76.983544	2011-06-01	102	0					0	2019-12-01		0		0	0	2019-12-01		
081-20431	ANADARKO E&P ONSHORE LLC	LYCOMING	COGAN HOUSE	41.450225	-77.144028	2011-06-01	66	0					0	2016-12-01		0		0	0	2016-12-01		
081-20431	ANADARKO E&P ONSHORE LLC	LYCOMING	COGAN HOUSE	41.450225	-77.144028	2011-06-01	78	0					0	2017-12-01		0		0	0	2017-12-01		
081-20431	ANADARKO E&P ONSHORE LLC	LYCOMING	COGAN HOUSE	41.450225	-77.144028	2011-06-01	90	0					0	2018-12-01		0		0	0	2018-12-01		
081-20431	ANADARKO E&P ONSHORE LLC	LYCOMING	COGAN HOUSE	41.450225	-77.144028	2011-06-01	102	0					0	2019-12-01		0		0	0	2019-12-01		
081-20501	ANADARKO E&P ONSHORE LLC	LYCOMING	COGAN HOUSE	41.422389	-77.187658	2013-12-01	36	0					0	2016-12-01		0		0	0	2016-12-01		
081-20501	ANADARKO E&P ONSHORE LLC	LYCOMING	COGAN HOUSE	41.422389	-77.187658	2013-12-01	48	0					0	2017-12-01		0		0	0	2017-12-01		
081-20501	ANADARKO E&P ONSHORE LLC	LYCOMING	COGAN HOUSE	41.422389	-77.187658	2013-12-01	60	0					0	2018-12-01		0		0	0	2018-12-01		
081-20501	ANADARKO E&P ONSHORE LLC	LYCOMING	COGAN HOUSE	41.422389	-77.187658	2013-12-01	72	0					0	2019-12-01		0		0	0	2019-12-01		
081-20516	ANADARKO E&P ONSHORE LLC	LYCOMING	LYCOMING	41.309886	-77.116608	2011-12-01	60	0					0	2016-12-01		0		0	0	2016-12-01		
081-20516	ANADARKO E&P ONSHORE LLC	LYCOMING	LYCOMING	41.309886	-77.116608	2011-12-01	72	0					0	2017-12-01		0		0	0	2017-12-01		
